post_time,price,title,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,delivery available,cryptocurrency ok
2020-01-22T13:28:34-0800,$27888,2013 GMC YUKON,1GKS1GEJ8DR176087,,,rwd,other,39239,white,,clean,automatic,SUV,,
2020-01-22T13:28:17-0800,$26888,2019 RAM RAM PICKUP 1500 CLASSIC,1C6RR7TT2KS510828,,,,other,30597,,,clean,automatic,other,,
2020-01-22T13:25:39-0800,$13250,2010 FORD ESCAPE,1FMCU4K36AKD22014,like new,4 cylinders,fwd,hybrid,18354,silver,mid-size,clean,automatic,SUV,,
2020-01-22T13:25:20-0800,$2200,2001 Mercedes Benz clk320,,,,,gas,,,,clean,automatic,,,
2020-01-22T13:24:13-0800,$17995,2014 Audi Q7 3.0 Premium quattro,WA1LGAFE1ED004117,good,6 cylinders,,other,85213,,,clean,automatic,other,,
2020-01-22T13:21:34-0800,$25950,2017 Mercedes-Benz gclass,WDC0G4JB6HF189176,,,rwd,gas,36956,blue,,clean,automatic,SUV,,
2020-01-22T13:20:18-0800,,2006 BMW 3 Series,WBABV13446JT24373,excellent,6 cylinders,rwd,gas,114316,grey,sub-compact,clean,automatic,coupe,,
2020-01-22T13:16:26-0800,$27850,2017 Mercedes-Benz E 300,WDDZF4JB1HA007158,,,rwd,gas,35648,green,,clean,automatic,sedan,,
2020-01-22T13:15:49-0800,$9995,1999 ford e350 econoline,,good,8 cylinders,,gas,119000,,,clean,automatic,van,,
2020-01-22T13:15:15-0800,$4900,2006 chevy silverado,,good,,,gas,,,,clean,automatic,,,
2020-01-22T13:15:14-0800,$11995,2011 Ford Ranger,1FTKR1AD4BPA88535,excellent,,,gas,69698,white,,clean,automatic,pickup,,
2020-01-22T13:15:12-0800,$11998,2012 MERCEDES-BENZ C-CLASS,WDDGF4HB2CR207943,,,,gas,101592,silver,compact,clean,automatic,sedan,,
2020-01-22T13:11:21-0800,$27850,2017 Mercedes-Benz E 300,WDDZF4JB4HA136172,,,rwd,gas,44238,black,,clean,automatic,sedan,,
2020-01-22T13:09:27-0800,$1600,2005 chevrolet malibu ls,,good,6 cylinders,fwd,gas,97300,blue,full-size,clean,automatic,sedan,,
2020-01-22T13:07:36-0800,$5000,2011 mini cooper s,,good,4 cylinders,fwd,gas,,white,compact,clean,automatic,coupe,,
2020-01-22T13:06:58-0800,$3000,2007 infiniti m35,,good,,,gas,,,,clean,automatic,,,
2020-01-22T13:06:16-0800,$27850,2017 Mercedes-Benz E 300,WDDZF4JB2HA050875,,,rwd,gas,30747,blue,,clean,automatic,sedan,,
2020-01-22T13:05:50-0800,$3995,2001 2001 gmc sonoma,,good,4 cylinders,,gas,117000,,,clean,automatic,pickup,,
2020-01-22T13:04:31-0800,$5500,2007 2007 toyota prius,,,,,hybrid,,,,clean,automatic,,,
2020-01-22T13:04:26-0800,$24990,2018 Toyota Tacoma Double Cab,3TMBZ5DN4JM012653,,6 cylinders,,gas,5155,white,,salvage,automatic,pickup,,
2020-01-22T13:02:20-0800,$4000,1998 ford f-150,,good,8 cylinders,rwd,gas,,brown,,clean,automatic,truck,,
2020-01-22T13:01:24-0800,$4995,2006 acura 3.2 tl,,good,6 cylinders,,gas,140000,,,clean,automatic,,,
2020-01-22T13:00:28-0800,$31900,2018 Chevrolet Camaro,1G1FE1R78J0116980,excellent,8 cylinders,rwd,gas,34712,,,clean,manual,coupe,,
2020-01-22T12:58:57-0800,$6000,2009 Volkswagen GTI,,,,,gas,,,,clean,automatic,,,
2020-01-22T12:58:12-0800,$25850,2017 Mercedes-Benz C 300,WDDWJ4JB1HF419195,,,rwd,gas,41360,grey,,clean,automatic,coupe,,
2020-01-22T12:56:58-0800,$6000,2010 volkswagen jetta,,excellent,,,gas,,,,clean,automatic,,,
2020-01-22T12:56:14-0800,$12900,2014 Ford Escape SE Sport Utility 4D,1FMCU0GX7EUC10367,good,,,gas,79557,white,,clean,automatic,other,,
2020-01-22T12:56:12-0800,$16000,2017 Hyundai Santa Fe Sport Utility,5XYZU3LB7HG454097,good,,fwd,gas,42000,blue,,clean,automatic,other,,
2020-01-22T12:55:31-0800,$3600,2005 Acura TSX,,,,,gas,,,,clean,automatic,,,
2020-01-22T12:53:04-0800,$25800,2017 Mercedes-Benz C 300,WDDWJ4JB8HF401387,,,rwd,gas,51626,white,,clean,automatic,coupe,,
2020-01-22T12:53:02-0800,$8900,2012 acura tsx,,excellent,4 cylinders,fwd,gas,136000,white,,clean,automatic,sedan,,
2020-01-22T12:52:28-0800,$35900,2017 lexus rx 350 f sport,,excellent,,,gas,37000,,full-size,clean,automatic,SUV,,
2020-01-22T12:52:19-0800,$46995,2017 BMW 750i,WBA7F0C37HGM21572,,,rwd,gas,50825,black,,clean,automatic,sedan,,
2020-01-22T12:50:04-0800,$23500,2016 lexus es350,,,,,gas,31000,white,,clean,automatic,sedan,,
2020-01-22T12:49:44-0800,$10900,2015 toyota,,,,,gas,,,,clean,automatic,,,
2020-01-22T12:48:19-0800,$47995,2014 Land Rover Range Rover Autobiogr,SALGV2EF5EA126518,,,4wd,gas,61457,black,,clean,automatic,SUV,,
2020-01-22T12:47:34-0800,$43500,2017 Mercedes-Benz AMG C 43,WDDWK6EB5HF554148,,,,gas,9948,grey,,clean,automatic,convertible,,
2020-01-22T12:47:08-0800,$16000,2015 bmw 328i,,like new,4 cylinders,rwd,gas,58000,blue,mid-size,clean,automatic,sedan,,
2020-01-22T12:45:43-0800,$3499,2000 gmc sierra 1500,1gtec14w2ye261484,excellent,6 cylinders,rwd,gas,170452,white,full-size,clean,automatic,truck,,
2020-01-22T12:45:36-0800,$37995,2016 CADILLAC ATS,1G6AN5SY4G0123464,,,,gas,29951,red,compact,clean,automatic,sedan,,
2020-01-22T12:44:15-0800,$41995,2016 Mercedes-Benz AMG C 63 S,55SWF8HB3GU105798,,,rwd,gas,70159,black,,clean,automatic,sedan,,
2020-01-22T12:43:35-0800,$12000,2002 Chevrolet Silverado 2500HD 4x4,,excellent,8 cylinders,4wd,gas,154,brown,full-size,clean,automatic,pickup,,
